instruction group
jns g_cond_jump
cmpq g_control
movl g_move
sqrtsd g_arithmetic
cmpw g_control
_byte g_data
negq g_arithmetic
movb g_move
movslq g_move
jnb g_jump
popq g_control
ret g_return
negl g_control
unpcklpd g_control
movw g_move
fxch g_move
cmpl g_control
movq g_move
imulq g_arithmetic
imull g_arithmetic
fdivrp g_arithmetic
testq g_control
testw g_control
fmulp g_arithmetic
fildq g_data
fucomip g_control
testb g_control
nop g_control
testl g_control
shrw g_arithmetic
cvttsd2si g_control
fnstcw g_move
_zero g_data
cmpb g_control
leave g_control
cmovb g_control
pushq g_control
xorq g_arithmetic
jne g_cond_jump
movsbw g_move
movsbq g_control
jle g_cond_jump
movsbl g_move
cvttss2si g_control
orq g_arithmetic
fsubrp g_control
setle g_control
addq g_arithmetic
rep g_control
jge g_cond_jump
leal g_move
leaq g_control
addb g_arithmetic
addl g_arithmetic
mull g_arithmetic
jp g_cond_jump
fstpt g_move
ucomisd g_control
jl g_cond_jump
bsrq g_control
_string g_data
ucomiss g_control
je g_cond_jump
mulq g_arithmetic
orb g_arithmetic
ja g_cond_jump
jb g_cond_jump
cqto g_control
movsd g_move
cmovs g_move
_long g_data
orl g_arithmetic
xorpd g_arithmetic
cmovl g_move
unpcklps g_control
xorps g_arithmetic
cmovbe g_move
movss g_move
movzwl g_move
subw g_arithmetic
cltq g_control
shrb g_arithmetic
subq g_arithmetic
idivq g_arithmetic
shrl g_arithmetic
cmovge g_move
fildl g_move
cltd g_control
subb g_arithmetic
setge g_control
shrq g_control
idivl g_arithmetic
cvtps2pd g_control
subl g_arithmetic
movzbl g_move
andl g_arithmetic
subsd g_arithmetic
jg g_cond_jump
movaps g_move
sarl g_arithmetic
setne g_control
faddp g_arithmetic
setnb g_control
cvtsi2ssq g_control
call g_call
subss g_arithmetic
sarq g_control
andq g_arithmetic
andpd g_arithmetic
setnp g_control
cvttsd2siq g_control
jmp g_jump
movabsq g_move
js g_cond_jump
cmovle g_move
fucomi g_control
fldcw g_move
addsd g_arithmetic
movswq g_move
fldz g_move
cvttss2siq g_control
fldt g_move
cvtsi2ss g_control
movapd g_move
fldl g_move
cvtpd2ps g_control
addss g_arithmetic
cvtsi2sd g_control
movswl g_move
mulss g_arithmetic
setbe g_control
_uleb128 g_data
mulsd g_arithmetic
notl g_arithmetic
addw g_arithmetic
divl g_arithmetic
cvtsi2sdq g_control
fld1 g_move
fstp g_move
xorl g_arithmetic
divq g_arithmetic
sete g_control
cwtl g_control
setg g_control
sall g_arithmetic
seta g_control
setb g_control
setl g_control
divsd g_arithmetic
cmove g_move
jbe g_cond_jump
setp g_control
salq g_control
cmovg g_move
cmovnb g_move
divss g_arithmetic
